EOBFileid,PaymentPostingid,EOBFile,createdby,createdDate,changedby,changedDate,deletedby,isdeleted,CreatedUserType,ChangedUserType
254364,586355,586355_254364_postpayment.pdf,481,2016-01-22 23:47:33.597,0,2016-01-22 23:47:33.597,0,0,Users,
243249,570302,186054_postpayment.pdf,170,2015-12-30 05:43:35.150,0,2015-12-30 05:43:35.150,0,0,Users,
244791,572551,187529_postpayment.pdf,570,2016-01-04 05:58:47.020,0,2016-01-04 05:58:47.020,0,0,Users,
242070,568103,184931_postpayment.pdf,570,2015-12-28 06:26:46.800,0,2015-12-28 06:26:46.800,0,0,Users,
262738,609699,203702_postpayment.pdf,471,2016-02-18 23:40:17.060,0,2016-02-18 23:40:17.060,0,0,Users,
239315,563487,182475_postpayment.pdf,570,2015-12-22 00:10:29.470,0,2015-12-22 00:10:29.470,0,0,Users,
251676,582922,193467_postpayment.pdf,609,2016-01-19 03:10:10.067,0,2016-01-19 03:10:10.067,0,0,Users,
235424,558847,178687_postpayment.pdf,570,2015-12-11 05:20:08.633,0,2015-12-11 05:20:08.633,0,0,Users,
248296,578354,190499_postpayment.pdf,609,2016-01-11 00:07:22.800,0,2016-01-11 00:07:22.800,0,0,Users,
252477,584011,194169_postpayment.pdf,608,2016-01-20 06:45:02.520,0,2016-01-20 06:45:02.520,0,0,Users,
253068,584680,584680_253068_postpayment.pdf,477,2016-01-21 05:16:39.613,0,2016-01-21 05:16:39.613,0,0,Users,
246855,575314,575314_246855_postpayment.pdf,469,2016-01-06 07:00:46.730,0,2016-01-06 07:00:46.730,0,0,Users,
246911,575328,575328_246911_postpayment.pdf,469,2016-01-06 07:07:33.580,0,2016-01-06 07:07:33.580,0,0,Users,
253070,584683,584683_253070_postpayment.pdf,477,2016-01-21 05:16:44.040,0,2016-01-21 05:16:44.040,0,0,Users,
262741,609703,203705_postpayment.pdf,471,2016-02-18 23:41:29.597,0,2016-02-18 23:41:29.597,0,0,Users,
254612,586677,586677_254612_postpayment.pdf,469,2016-01-23 00:53:37.590,0,2016-01-23 00:53:37.590,0,0,Users,
242374,568774,185208_postpayment.pdf,570,2015-12-29 02:46:45.493,0,2015-12-29 02:46:45.493,0,0,Users,
255372,587577,196412_postpayment.pdf,609,2016-01-23 04:19:05.653,0,2016-01-23 04:19:05.653,0,0,Users,
238216,562362,562362_238216_postpayment.pdf,170,2015-12-18 04:25:01.363,0,2015-12-18 04:25:01.363,0,0,Users,
235428,558851,178696_postpayment.pdf,570,2015-12-11 05:24:06.360,0,2015-12-11 05:24:06.360,0,0,Users,
246201,574438,188807_postpayment.pdf,610,2016-01-06 01:18:57.930,0,2016-01-06 01:18:57.930,0,0,Users,
242143,568406,184986_postpayment.pdf,170,2015-12-28 23:36:10.440,0,2015-12-28 23:36:10.440,0,0,Users,
253067,584698,584698_253067_postpayment.pdf,477,2016-01-21 05:16:35.277,0,2016-01-21 05:16:35.277,0,0,Users,
246838,575793,575793_246838_postpayment.pdf,469,2016-01-06 06:58:06.223,0,2016-01-06 06:58:06.223,0,0,Users,
303101,1150821,1150821_303101_postpayment.pdf,636,2018-03-28 06:09:01.083,0,2018-03-28 06:09:01.083,0,0,Users,
248290,578343,190493_postpayment.pdf,609,2016-01-11 00:01:03.460,0,2016-01-11 00:01:03.460,0,0,Users,
258011,596020,198582_postpayment.pdf,609,2016-01-31 23:44:36.363,0,2016-01-31 23:44:36.363,0,0,Users,
255151,586441,586441_255151_postpayment.pdf,474,2016-01-23 03:30:19.880,0,2016-01-23 03:30:19.880,0,0,Users,
246872,575441,575441_246872_postpayment.pdf,469,2016-01-06 07:01:57.033,0,2016-01-06 07:01:57.033,0,0,Users,
254369,586350,586350_254369_postpayment.pdf,481,2016-01-22 23:48:05.133,0,2016-01-22 23:48:05.133,0,0,Users,
237137,560953,180393_postpayment.pdf,570,2015-12-16 04:04:44.670,0,2015-12-16 04:04:44.670,0,0,Users,
246925,575802,575802_246925_postpayment.pdf,469,2016-01-06 07:08:59.510,0,2016-01-06 07:08:59.510,0,0,Users,
257874,594781,594781_257874_postpayment.pdf,469,2016-01-30 04:07:37.593,0,2016-01-30 04:07:37.593,0,0,Users,
249585,580289,580289_249585_postpayment.pdf,608,2016-01-12 23:50:26.873,0,2016-01-12 23:50:26.873,0,0,Users,
257872,594912,594912_257872_postpayment.pdf,469,2016-01-30 04:07:16.153,0,2016-01-30 04:07:16.153,0,0,Users,
256613,590199,197561_postpayment.pdf,471,2016-01-27 00:13:35.897,0,2016-01-27 00:13:35.897,0,0,Users,
246714,575745,189244_postpayment.pdf,610,2016-01-06 06:18:17.470,0,2016-01-06 06:18:17.470,0,0,Users,
230580,552272,173840_postpayment.pdf,565,2015-11-26 00:39:09.290,0,2015-11-26 00:39:09.290,0,0,Users,
257873,594754,594754_257873_postpayment.pdf,469,2016-01-30 04:07:31.740,0,2016-01-30 04:07:31.740,0,0,Users,
259449,603091,200245_postpayment.pdf,471,2016-02-08 23:00:16.887,0,2016-02-08 23:00:16.887,0,0,Users,
242298,568650,185142_postpayment.pdf,170,2015-12-29 01:39:27.280,0,2015-12-29 01:39:27.280,0,0,Users,
246705,575720,189237_postpayment.pdf,610,2016-01-06 06:11:59.493,0,2016-01-06 06:11:59.493,0,0,Users,
231723,553779,175023_postpayment.pdf,565,2015-12-01 02:56:41.630,0,2015-12-01 02:56:41.630,0,0,Users,
238215,562360,562360_238215_postpayment.pdf,170,2015-12-18 04:24:48.863,0,2015-12-18 04:24:48.863,0,0,Users,
246929,575535,575535_246929_postpayment.pdf,469,2016-01-06 07:09:15.400,0,2016-01-06 07:09:15.400,0,0,Users,
244538,572247,187292_postpayment.pdf,170,2016-01-04 03:12:05.783,0,2016-01-04 03:12:05.783,0,0,Users,
251684,582931,193475_postpayment.pdf,609,2016-01-19 03:21:33.697,0,2016-01-19 03:21:33.697,0,0,Users,
251685,582932,193477_postpayment.pdf,609,2016-01-19 03:22:22.713,0,2016-01-19 03:22:22.713,0,0,Users,
262649,609438,203613_postpayment.pdf,471,2016-02-18 06:09:13.893,0,2016-02-18 06:09:13.893,0,0,Users,
257923,595249,595249_257923_postpayment.pdf,608,2016-01-30 05:13:45.290,0,2016-01-30 05:13:45.290,0,0,Users,
242296,568643,185139_postpayment.pdf,170,2015-12-29 01:37:40.637,0,2015-12-29 01:37:40.637,0,0,Users,
253326,585042,194968_postpayment.pdf,471,2016-01-21 22:42:49.630,0,2016-01-21 22:42:49.630,0,0,Users,
244541,572248,187293_postpayment.pdf,170,2016-01-04 03:13:12.413,0,2016-01-04 03:13:12.413,0,0,Users,
246926,575839,575839_246926_postpayment.pdf,469,2016-01-06 07:09:02.033,0,2016-01-06 07:09:02.033,0,0,Users,
254604,586652,586652_254604_postpayment.pdf,610,2016-01-23 00:53:18.110,0,2016-01-23 00:53:18.110,0,0,Users,
246878,575085,575085_246878_postpayment.pdf,469,2016-01-06 07:02:22.673,0,2016-01-06 07:02:22.673,0,0,Users,
